,40-year NPV rank,40-year NPV,Institution,State,Level,Predominant degree,Institution type,Share earning more than high school graduates 10-years after enrolling,Earnings-price return rank,Earnings-price return,Earnings-debt return rank,Earnings-debt return,Debt rank,Median debt,10-year earnings rank,Median 10-yr earnings,Net price rank,Net price,Graduation rate rank,Graduation rate,7-year repayment rate
47,4105,"$510,000",Remington College-Mobile Campus,AL,4-year,Certificate,Private nonprofit,40%,3909,32%,3069,179%,2001,"$9,500",3518,"$26,502",1401,"$20,110",1888,58%,27%
48,3300,"$666,000",Ross Medical Education Center-Huntsville,AL,Less than 2-year,Certificate,Private for-profit,33%,3760,41%,2397,220%,2692,"$8,089",3628,"$25,892",1711,"$18,416",1501,63%,29%
49,872,"$1,065,000",Samford University,AL,4-year,Bachelor's,Private nonprofit,79%,3174,79%,2184,236%,934,"$15,857",607,"$53,223",292,"$29,673",620,76%,82%
50,2888,"$737,000",Shelton State Community College,AL,2-year,Associate's,Public,50%,663,397%,NA,NA,NA,NA,3025,"$30,880",3900,"$6,217",3987,21%,NA
51,2842,"$742,000",Snead State Community College,AL,2-year,Associate's,Public,50%,388,523%,772,418%,3495,"$5,948",3036,"$30,808",4110,"$4,945",3016,39%,NA
52,2963,"$724,000",South University-Montgomery,AL,4-year,Bachelor's,Private for-profit,58%,3158,80%,3200,172%,1364,"$13,516",2201,"$36,710",1351,"$20,384",4283,10%,34%
53,2411,"$806,000",Southern Union State Community College,AL,2-year,Certificate,Public,57%,1013,304%,416,523%,3575,"$5,507",2575,"$34,315",3474,"$8,493",3806,24%,53%
54,1234,"$980,000",Spring Hill College,AL,4-year,Bachelor's,Private nonprofit,75%,2609,116%,3513,146%,342,"$19,500",966,"$47,960",1044,"$22,221",1942,57%,68%
55,3435,"$646,000",Stillman College,AL,4-year,Bachelor's,Private nonprofit,53%,3236,75%,3848,109%,1020,"$15,375",2875,"$32,146",1726,"$18,352",3608,28%,30%
56,2049,"$855,000",Strayer University-Alabama,AL,4-year,Bachelor's,Private for-profit,68%,3208,77%,2055,244%,1487,"$12,667",1375,"$43,590",731,"$24,593",NA,NA,37%
57,3867,"$571,000",Talladega College,AL,4-year,Bachelor's,Private nonprofit,44%,3134,81%,3800,119%,1418,"$13,000",3286,"$28,412",2224,"$15,661",3632,27%,18%
58,792,"$1,090,000",The University of Alabama,AL,4-year,Bachelor's,Public,79%,2358,133%,2732,199%,675,"$17,671",637,"$52,751",988,"$22,597",902,71%,69%
59,2275,"$825,000",Troy University,AL,4-year,Bachelor's,Public,65%,1881,175%,3509,147%,931,"$15,950",1870,"$39,339",2486,"$14,285",2635,45%,47%
60,2178,"$838,000",Tuskegee University,AL,4-year,Bachelor's,Private nonprofit,72%,3959,28%,3718,128%,342,"$19,500",1288,"$44,419",136,"$34,575",2530,47%,53%
61,1186,"$988,000",University of Alabama at Birmingham,AL,4-year,Bachelor's,Public,75%,1865,177%,2549,212%,1055,"$15,085",1048,"$46,990",1963,"$16,953",1671,61%,64%
62,568,"$1,161,000",University of Alabama in Huntsville,AL,4-year,Bachelor's,Public,78%,1367,243%,1543,288%,1278,"$14,000",560,"$54,361",2180,"$15,860",2081,55%,65%
63,2216,"$833,000",University of Mobile,AL,4-year,Bachelor's,Private nonprofit,63%,2329,135%,3877,105%,335,"$19,645",1744,"$40,280",1930,"$17,122",2203,53%,55%
64,2524,"$791,000",University of Montevallo,AL,4-year,Bachelor's,Public,63%,2344,134%,3561,143%,947,"$15,815",1984,"$38,378",2053,"$16,435",2249,52%,67%
65,2248,"$829,000",University of North Alabama,AL,4-year,Bachelor's,Public,64%,1856,178%,3349,159%,1043,"$15,174",1875,"$39,316",2524,"$14,130",2533,47%,62%
66,1656,"$908,000",University of South Alabama,AL,4-year,Bachelor's,Public,69%,1856,178%,3467,150%,726,"$17,250",1434,"$43,123",2260,"$15,501",2633,45%,56%
67,2805,"$748,000",University of West Alabama,AL,4-year,Bachelor's,Public,58%,2393,131%,2960,186%,1521,"$12,500",2369,"$35,767",2256,"$15,514",3324,33%,46%
68,4179,"$491,000",Academy of Salon and Spa,AR,Less than 2-year,Certificate,Private for-profit,29%,3285,72%,1691,274%,3791,"$5,360",4199,"$20,056",2925,"$11,630",3525,30%,50%
69,4085,"$517,000",Arkansas Baptist College,AR,4-year,Bachelor's,Private nonprofit,42%,3780,40%,3032,181%,2001,"$9,500",3499,"$26,710",1602,"$19,029",4211,15%,20%
70,4239,"$470,000",Arkansas Beauty College,AR,Less than 2-year,Certificate,Private for-profit,NA,3158,80%,2294,226%,3578,"$5,503",4313,"$17,966",3196,"$10,004",1718,60%,46%
71,4334,"$430,000",Arkansas Beauty School-Little Rock,AR,Less than 2-year,Certificate,Private for-profit,NA,4355,-12%,3186,173%,3292,"$6,333",4330,"$17,300",1477,"$19,639",1252,67%,41%
72,3085,"$707,000",Arkansas Northeastern College,AR,2-year,Certificate,Public,48%,318,572%,NA,NA,NA,NA,3195,"$29,391",4194,"$4,371",3740,26%,48%
73,2495,"$795,000",Arkansas State University,AR,4-year,Bachelor's,Public,62%,1820,182%,3477,149%,1047,"$15,156",2069,"$37,755",2656,"$13,406",2331,51%,53%
74,2630,"$771,000",Arkansas State University-Beebe,AR,2-year,Certificate,Public,54%,1194,272%,483,501%,3579,"$5,500",2741,"$33,070",3393,"$8,899",3515,30%,53%
75,2817,"$746,000",Arkansas State University-Mountain Home,AR,2-year,Certificate,Public,54%,1560,214%,1875,256%,2448,"$9,046",2867,"$32,246",3148,"$10,259",2478,48%,NA
76,2080,"$851,000",Arkansas State University-Newport,AR,2-year,Certificate,Public,62%,923,323%,532,488%,3462,"$6,000",2438,"$35,286",3501,"$8,337",3874,23%,NA
77,3699,"$601,000",Arkansas State University Mid-South,AR,2-year,Certificate,Public,38%,998,308%,NA,NA,NA,NA,3701,"$25,147",3907,"$6,163",4133,17%,NA
78,2770,"$753,000",Arkansas State University Three Rivers,AR,2-year,Certificate,Public,51%,584,421%,569,476%,3579,"$5,500",2940,"$31,680",3919,"$6,085",3897,23%,53%
79,2275,"$825,000",Arkansas Tech University,AR,4-year,Bachelor's,Public,63%,1276,258%,2359,222%,1612,"$12,000",1961,"$38,580",3059,"$10,772",2958,40%,57%
80,4232,"$473,000",Arthur's Beauty College,AR,Less than 2-year,Certificate,Private for-profit,NA,3443,61%,3849,109%,2516,"$8,823",4290,"$18,435",2957,"$11,431",2365,50%,NA
81,359,"$1,264,000",Baptist Health College Little Rock,AR,2-year,Associate's,Private nonprofit,79%,2358,133%,564,478%,2001,"$9,500",524,"$54,924",852,"$23,568",3029,38%,62%
82,2983,"$721,000",Black River Technical College,AR,2-year,Certificate,Public,49%,1061,298%,806,410%,3462,"$6,000",3057,"$30,617",3634,"$7,690",3490,30%,46%
83,3908,"$562,000",Blue Cliff College-Fayetteville,AR,Less than 2-year,Certificate,Private for-profit,32%,4023,22%,3400,156%,2448,"$9,046",3959,"$23,118",1622,"$18,918",2805,42%,47%
84,3873,"$570,000",Bryan University,AR,2-year,Associate's,Private for-profit,35%,3821,38%,4029,46%,679,"$17,633",3657,"$25,720",1674,"$18,646",1907,57%,29%
85,3953,"$552,000",Career Academy of Hair Design,AR,Less than 2-year,Certificate,Private for-profit,NA,2898,97%,1961,249%,3265,"$6,365",4040,"$22,182",2982,"$11,257",1621,62%,44%
86,2216,"$833,000",Central Baptist College,AR,4-year,Bachelor's,Private nonprofit,65%,2246,141%,2966,186%,1274,"$14,043",1772,"$40,099",2017,"$16,619",3511,30%,60%
87,2963,"$724,000",Cossatot Community College of the University of Arkansas,AR,2-year,Certificate,Public,48%,337,554%,NA,NA,NA,NA,3063,"$30,580",4160,"$4,677",2756,43%,NA
88,3784,"$587,000",Crowley's Ridge College,AR,4-year,Bachelor's,Private nonprofit,40%,2826,102%,3385,157%,1846,"$10,875",3381,"$27,898",2590,"$13,796",3195,35%,49%
89,3383,"$656,000",East Arkansas Community College,AR,2-year,Certificate,Public,45%,798,354%,101,716%,4014,"$3,500",3273,"$28,549",3882,"$6,290",3260,34%,42%
90,3767,"$589,000",Eastern College of Health Vocations-Little Rock,AR,Less than 2-year,Certificate,Private for-profit,29%,3116,82%,296,576%,4038,"$3,412",3975,"$23,049",2780,"$12,646",1274,66%,37%
91,2865,"$739,000",Ecclesia College,AR,4-year,Bachelor's,Private nonprofit,52%,2955,93%,902,386%,2905,"$7,500",2277,"$36,421",1637,"$18,838",3792,25%,54%
92,1195,"$986,000",Harding University,AR,4-year,Bachelor's,Private nonprofit,74%,2192,145%,3778,121%,176,"$21,500",996,"$47,520",1525,"$19,375",1159,68%,77%
93,2178,"$838,000",Henderson State University,AR,4-year,Bachelor's,Public,66%,1132,280%,1896,255%,1812,"$11,000",1901,"$39,020",3147,"$10,270",3114,37%,56%
94,1417,"$946,000",Hendrix College,AR,4-year,Bachelor's,Private nonprofit,74%,2314,136%,3834,112%,176,"$21,500",1166,"$45,626",1546,"$19,295",963,71%,83%
95,4397,"$386,000",Hot Springs Beauty College,AR,Less than 2-year,Certificate,Private for-profit,NA,3520,56%,3885,102%,2973,"$7,383",4401,"$14,949",3278,"$9,563",905,71%,NA
96,866,"$1,067,000",John Brown University,AR,4-year,Bachelor's,Private nonprofit,75%,2314,136%,2935,188%,622,"$18,000",704,"$51,785",1091,"$21,963",1098,69%,81%
97,1715,"$900,000",Lyon College,AR,4-year,Bachelor's,Private nonprofit,73%,1829,181%,1062,356%,2001,"$9,500",1416,"$43,343",2278,"$15,447",2280,52%,67%
98,3328,"$664,000",National Park College,AR,2-year,Certificate,Public,46%,1663,202%,1173,338%,3202,"$6,500",3282,"$28,453",3300,"$9,424",3616,28%,41%
99,2915,"$733,000",North Arkansas College,AR,2-year,Certificate,Public,49%,337,554%,729,429%,3521,"$5,812",3042,"$30,771",4152,"$4,702",3648,27%,41%
100,1715,"$900,000",NorthWest Arkansas Community College,AR,2-year,Associate's,Public,61%,470,476%,212,622%,3806,"$5,250",2045,"$37,899",3834,"$6,574",3854,23%,50%
101,1173,"$990,000",Northwest Technical Institute,AR,Less than 2-year,Certificate,Public,62%,252,645%,NA,NA,NA,NA,1998,"$38,280",4071,"$5,136",1342,65%,NA
102,1523,"$929,000",Ouachita Baptist University,AR,4-year,Bachelor's,Private nonprofit,72%,2455,127%,2701,200%,1138,"$14,954",1234,"$44,927",1451,"$19,815",1482,64%,76%
103,3459,"$642,000",Ozarka College,AR,2-year,Certificate,Public,44%,510,453%,1631,279%,3011,"$7,200",3438,"$27,290",4114,"$4,939",2559,46%,34%
104,3699,"$601,000",Paul Mitchell the School-Arkansas,AR,Less than 2-year,Certificate,Private for-profit,31%,4229,4%,3373,157%,2001,"$9,500",3788,"$24,457",864,"$23,492",947,71%,30%
105,4311,"$438,000",Paul Mitchell the School-Little Rock,AR,Less than 2-year,Certificate,Private for-profit,NA,4349,-11%,4000,70%,1947,"$9,833",4346,"$16,693",1633,"$18,852",1282,66%,52%
106,2924,"$732,000",Philander Smith College,AR,4-year,Bachelor's,Private nonprofit,57%,2113,152%,2925,188%,1576,"$12,342",2405,"$35,583",2519,"$14,141",2790,42%,45%
107,3463,"$640,000",Phillips Community College of the University of Arkansas,AR,2-year,Certificate,Public,42%,445,493%,67,783%,4048,"$3,063",3455,"$27,061",4175,"$4,566",2640,45%,25%
108,4337,"$429,000",Professional Cosmetology Education Center,AR,Less than 2-year,Certificate,Private for-profit,NA,1856,178%,4009,63%,1947,"$9,833",4379,"$16,062",3969,"$5,780",1136,68%,NA
109,3815,"$579,000",Remington College-Little Rock Campus,AR,2-year,Associate's,Private nonprofit,40%,4149,11%,3069,179%,2001,"$9,500",3518,"$26,502",805,"$23,938",3976,21%,27%
110,4402,"$372,000",Searcy Beauty College,AR,Less than 2-year,Certificate,Private for-profit,NA,4408,-32%,4005,66%,2596,"$8,415",4412,"$13,930",1313,"$20,625",3824,24%,28%
111,2939,"$730,000",South Arkansas Community College,AR,2-year,Certificate,Public,51%,1104,286%,1101,349%,3104,"$6,963",2985,"$31,232",3544,"$8,101",3559,29%,50%
112,3277,"$670,000",Southeast Arkansas College,AR,2-year,Certificate,Public,43%,1013,304%,723,431%,3797,"$5,332",3295,"$28,312",3763,"$7,010",4107,18%,42%
113,2318,"$820,000",Southern Arkansas University Main Campus,AR,4-year,Bachelor's,Public,66%,1881,175%,2510,213%,1519,"$12,530",1888,"$39,191",2492,"$14,270",2816,42%,54%
114,3070,"$709,000",Southern Arkansas University Tech,AR,2-year,Certificate,Public,48%,1541,217%,187,634%,3968,"$4,118",3114,"$30,240",3281,"$9,554",985,70%,45%
115,761,"$1,098,000",University of Arkansas,AR,4-year,Bachelor's,Public,77%,1549,216%,2045,245%,1066,"$15,000",711,"$51,702",2069,"$16,381",1300,66%,72%
116,2390,"$809,000",University of Arkansas-Fort Smith,AR,4-year,Bachelor's,Public,62%,1085,290%,1758,267%,1905,"$10,250",2086,"$37,613",3260,"$9,637",3316,33%,55%
117,3047,"$711,000",University of Arkansas-Pulaski Technical College,AR,2-year,Certificate,Public,50%,2065,157%,1141,341%,3063,"$7,000",3027,"$30,867",2870,"$12,030",3891,23%,37%
118,2139,"$843,000",University of Arkansas at Little Rock,AR,4-year,Bachelor's,Public,66%,1944,169%,2881,191%,1339,"$13,765",1777,"$40,077",2358,"$14,906",2882,41%,52%
119,3085,"$707,000",University of Arkansas at Monticello,AR,4-year,Certificate,Public,55%,1847,179%,1879,256%,2001,"$9,500",2642,"$33,821",2852,"$12,136",3638,27%,46%
120,3277,"$670,000",University of Arkansas at Pine Bluff,AR,4-year,Bachelor's,Public,52%,2038,160%,3839,111%,1042,"$15,188",2897,"$31,984",2826,"$12,320",3432,31%,37%
121,3070,"$709,000",University of Arkansas Community College-Batesville,AR,2-year,Certificate,Public,48%,963,314%,1025,361%,3202,"$6,500",3132,"$29,978",3717,"$7,236",2844,42%,38%
122,2879,"$738,000",University of Arkansas Community College-Morrilton,AR,2-year,Certificate,Public,49%,409,511%,882,390%,3390,"$6,250",3054,"$30,637",4093,"$5,013",3344,33%,54%
123,3567,"$622,000",University of Arkansas Community College Rich Mountain,AR,2-year,Certificate,Public,39%,503,455%,537,487%,3947,"$4,440",3621,"$26,048",4153,"$4,696",2959,40%,NA
124,3295,"$667,000",University of Arkansas Hope-Texarkana,AR,2-year,Certificate,Public,42%,980,311%,126,686%,4014,"$3,500",3411,"$27,515",3821,"$6,696",3049,38%,43%
125,1802,"$888,000",University of Central Arkansas,AR,4-year,Bachelor's,Public,69%,1870,176%,2483,215%,1373,"$13,500",1515,"$42,472",2287,"$15,376",2807,42%,63%
126,2233,"$831,000",University of the Ozarks,AR,4-year,Bachelor's,Private nonprofit,64%,1646,204%,1092,350%,2527,"$8,750",1867,"$39,347",2737,"$12,924",2300,51%,66%
127,2851,"$741,000",Williams Baptist University,AR,4-year,Bachelor's,Private nonprofit,67%,2917,96%,1157,339%,2643,"$8,250",2305,"$36,232",1707,"$18,444",3008,39%,65%
128,3389,"$655,000",American Samoa Community College,AS,4-year,Associate's,Public,42%,117,946%,NA,NA,NA,NA,3441,"$27,265",4348,"$2,606",2920,40%,NA
129,2443,"$802,000",Allen School-Phoenix,AZ,Less than 2-year,Certificate,Private for-profit,51%,3459,60%,2175,236%,2370,"$9,430",2941,"$31,677",1453,"$19,812",466,79%,36%
130,2684,"$764,000",American InterContinental University,AZ,4-year,Bachelor's,Private for-profit,59%,1754,190%,1567,285%,2001,"$9,500",2252,"$36,551",2793,"$12,585",4092,18%,39%
131,3736,"$593,000",Arizona Academy of Beauty-East,AZ,Less than 2-year,Certificate,Private for-profit,NA,2301,137%,534,487%,3954,"$4,303",3695,"$25,265",3074,"$10,676",1898,57%,23%
132,2663,"$766,000",Arizona Christian University,AZ,4-year,Bachelor's,Private nonprofit,59%,3221,76%,739,426%,3022,"$7,132",2099,"$37,531",1187,"$21,374",2499,48%,63%
133,3360,"$660,000",Arizona College-Glendale,AZ,2-year,Certificate,Private for-profit,46%,3865,35%,2587,208%,2001,"$9,500",3214,"$29,239",1140,"$21,692",1890,58%,30%
134,3470,"$639,000",Arizona College-Mesa,AZ,2-year,Certificate,Private for-profit,46%,4249,2%,2587,208%,2001,"$9,500",3214,"$29,239",354,"$28,548",1018,70%,30%
135,1597,"$917,000",Arizona Culinary Institute,AZ,Less than 2-year,Certificate,Private for-profit,57%,4212,5%,1713,271%,2001,"$9,500",2449,"$35,246",166,"$33,552",353,82%,60%
136,437,"$1,211,000",Arizona State University-Downtown Phoenix,AZ,4-year,Bachelor's,Public,80%,708,382%,1365,309%,1351,"$13,632",476,"$55,749",2936,"$11,561",1526,63%,68%
137,424,"$1,219,000",Arizona State University-Polytechnic,AZ,4-year,Bachelor's,Public,80%,497,457%,1365,309%,1351,"$13,632",476,"$55,749",3193,"$10,013",2322,51%,68%
138,411,"$1,228,000",Arizona State University-West,AZ,4-year,Bachelor's,Public,80%,300,588%,1365,309%,1351,"$13,632",476,"$55,749",3544,"$8,101",1728,60%,68%
139,441,"$1,210,000",Arizona State University Campus Immersion,AZ,4-year,Bachelor's,Public,80%,729,376%,1365,309%,1351,"$13,632",476,"$55,749",2916,"$11,706",1284,66%,68%
140,463,"$1,199,000",Arizona State University Digital Immersion,AZ,4-year,Bachelor's,Public,80%,1051,299%,1365,309%,1351,"$13,632",476,"$55,749",2556,"$13,971",4215,15%,68%
141,2759,"$755,000",Arizona Western College,AZ,2-year,Certificate,Public,53%,1535,218%,107,709%,3977,"$4,000",2853,"$32,346",3165,"$10,165",3875,23%,41%
142,3645,"$609,000",Avalon School of Cosmetology-Mesa,AZ,Less than 2-year,Certificate,Private for-profit,32%,3705,45%,1784,265%,3379,"$6,312",3972,"$23,050",2164,"$15,914",1035,70%,40%
143,3645,"$609,000",Avalon School of Cosmetology-Phoenix,AZ,Less than 2-year,Certificate,Private for-profit,32%,3780,40%,1784,265%,3379,"$6,312",3972,"$23,050",2034,"$16,504",1140,68%,40%
144,4373,"$409,000",Brookline College-Phoenix,AZ,4-year,Certificate,Private for-profit,36%,4401,-25%,3334,160%,2355,"$9,491",3746,"$24,653",190,"$32,801",2838,42%,20%
145,4384,"$399,000",Brookline College-Tempe,AZ,4-year,Certificate,Private for-profit,36%,4405,-30%,3334,160%,2355,"$9,491",3746,"$24,653",122,"$35,025",2051,55%,20%
146,4267,"$456,000",Brookline College-Tucson,AZ,4-year,Certificate,Private for-profit,36%,4197,7%,3334,160%,2355,"$9,491",3746,"$24,653",913,"$23,039",2173,53%,20%
147,1127,"$999,000",Bryan University,AZ,4-year,Associate's,Private for-profit,67%,2090,155%,1099,349%,1938,"$9,938",1260,"$44,601",1879,"$17,472",4024,20%,45%
148,3606,"$614,000",California College San Diego-CollegeAmerica-Phoenix,AZ,4-year,Associate's,Private nonprofit,40%,4164,10%,4037,42%,299,"$20,000",3287,"$28,389",608,"$25,720",2909,40%,17%
149,2906,"$734,000",Carrington College-Phoenix North,AZ,2-year,Certificate,Private for-profit,53%,3744,42%,1848,259%,2443,"$9,075",2823,"$32,585",927,"$22,966",1086,69%,36%
150,2307,"$821,000",Central Arizona College,AZ,2-year,Certificate,Public,56%,527,446%,731,427%,3247,"$6,478",2598,"$34,165",3888,"$6,260",4029,20%,40%
